RepoID,RepoName,RepoOwner,RepoURL,IsPrivate,StarsCount,ForksCount,Language,CreatedAt,LastPushAt,OpenIssues
1082346479,AboutMe-25,Shashwath-K,https://github.com/Shashwath-K/AboutMe-25,False,0,0,JavaScript,2025-10-24T05:32:11Z,2026-03-30T10:00:00Z,0
1172834633,AI,Shashwath-K,https://github.com/Shashwath-K/AI,False,0,0,Unknown,2026-03-04T18:27:01Z,2025-05-10T20:24:19Z,0
1126908138,backend_api_v2,Shashwath-K,https://github.com/Shashwath-K/backend_api_v2,False,0,0,Python,2026-01-02T19:51:14Z,2026-01-03T04:01:09Z,0
340828520,Ball_blocker_Game,Shashwath-K,https://github.com/Shashwath-K/Ball_blocker_Game,False,0,0,HTML,2021-02-21T05:53:18Z,2025-09-21T16:40:30Z,0
688898232,CollegeProject,Shashwath-K,https://github.com/Shashwath-K/CollegeProject,False,0,0,Hack,2023-09-08T10:38:09Z,2023-09-08T10:46:15Z,0
1172837487,Cybersecurity-Demo-Dashboard,Shashwath-K,https://github.com/Shashwath-K/Cybersecurity-Demo-Dashboard,False,1,0,Unknown,2026-03-04T18:31:14Z,2026-03-04T18:49:16Z,0
823586381,EMS,Shashwath-K,https://github.com/Shashwath-K/EMS,False,0,0,Unknown,2024-07-03T10:07:57Z,2024-07-03T10:09:53Z,0
868539315,EventWhiz_EventApp,Shashwath-K,https://github.com/Shashwath-K/EventWhiz_EventApp,False,3,0,Dart,2024-10-06T16:35:31Z,2025-11-25T14:34:20Z,0
954753301,gatepass-main,Shashwath-K,https://github.com/Shashwath-K/gatepass-main,False,0,0,Java,2025-03-25T15:06:21Z,2025-05-09T04:09:36Z,0
1181771342,idw_preview,Shashwath-K,https://github.com/Shashwath-K/idw_preview,False,0,0,Python,2026-03-14T15:51:08Z,2026-03-17T12:00:00Z,0
1135439408,image-restoration,Shashwath-K,https://github.com/Shashwath-K/image-restoration,False,0,0,Python,2026-01-16T05:13:30Z,2026-01-16T07:58:30Z,0
1137964504,img_res_agv,Shashwath-K,https://github.com/Shashwath-K/img_res_agv,False,0,0,Unknown,2026-01-20T04:27:22Z,2026-01-20T04:27:22Z,0
869544706,JavaScript_WorkBench,Shashwath-K,https://github.com/Shashwath-K/JavaScript_WorkBench,False,0,0,Unknown,2024-10-08T13:28:01Z,2024-10-08T13:35:41Z,0
925213867,jenkins-python-build-test-demo-vs,Shashwath-K,https://github.com/Shashwath-K/jenkins-python-build-test-demo-vs,False,0,0,Unknown,2025-01-31T13:01:31Z,2024-07-30T01:13:31Z,0
1127536899,koyeb_deployment_face_recognition,Shashwath-K,https://github.com/Shashwath-K/koyeb_deployment_face_recognition,False,0,0,Python,2026-01-04T04:51:51Z,2026-01-12T17:54:26Z,0
1048599090,License_Plate_detection_and_toll_collection,Shashwath-K,https://github.com/Shashwath-K/License_Plate_detection_and_toll_collection,False,1,0,Python,2025-09-01T17:49:55Z,2025-09-24T17:48:55Z,0
1173254390,Lima-paramana,Shashwath-K,https://github.com/Shashwath-K/Lima-paramana,False,0,0,HTML,2026-03-05T06:58:48Z,2026-03-16T17:21:14Z,0
1022245060,LimaProject,Shashwath-K,https://github.com/Shashwath-K/LimaProject,False,0,0,JavaScript,2025-07-18T17:48:20Z,2025-10-29T16:30:35Z,0
1138309795,numpy-100,Shashwath-K,https://github.com/Shashwath-K/numpy-100,False,0,0,Unknown,2026-01-20T14:06:39Z,2025-11-06T16:13:11Z,0
1086511889,PDF_OPS,Shashwath-K,https://github.com/Shashwath-K/PDF_OPS,False,0,0,JavaScript,2025-10-30T14:17:18Z,2025-11-16T16:34:04Z,0
818743686,Portfolio-24,Shashwath-K,https://github.com/Shashwath-K/Portfolio-24,False,0,0,CSS,2024-06-22T18:24:12Z,2026-03-22T12:00:00Z,0
1070226722,ProCompViz,Shashwath-K,https://github.com/Shashwath-K/ProCompViz,False,0,0,JavaScript,2025-10-05T14:23:00Z,2025-11-05T04:58:02Z,0
925214617,pytest-intro-vs,Shashwath-K,https://github.com/Shashwath-K/pytest-intro-vs,False,0,0,Unknown,2025-01-31T13:03:11Z,2024-04-03T11:14:06Z,0
687569891,PythonPrograms,Shashwath-K,https://github.com/Shashwath-K/PythonPrograms,False,0,0,Python,2023-09-05T16:14:22Z,2024-10-06T16:32:12Z,0
1178118317,Python_auto_documenter,Shashwath-K,https://github.com/Shashwath-K/Python_auto_documenter,False,0,0,Python,2026-03-10T17:51:17Z,2026-03-26T12:00:00Z,0
1147796738,python_based_simple_resume_analyzer,Shashwath-K,https://github.com/Shashwath-K/python_based_simple_resume_analyzer,False,0,0,Python,2026-02-02T08:08:27Z,2026-02-07T16:51:48Z,0
1143372695,Python_based_smart_pdf_converter,Shashwath-K,https://github.com/Shashwath-K/Python_based_smart_pdf_converter,False,0,0,Python,2026-01-27T13:58:17Z,2026-03-20T18:17:14Z,0
1147690639,python_secure_file_analyzer,Shashwath-K,https://github.com/Shashwath-K/python_secure_file_analyzer,False,0,0,Python,2026-02-02T04:58:58Z,2026-02-02T05:49:26Z,0
1045738805,Shashwath-K,Shashwath-K,https://github.com/Shashwath-K/Shashwath-K,False,0,0,Unknown,2025-08-27T16:33:23Z,2025-11-19T17:28:06Z,0
1084244228,SkillSphere-Demo,Shashwath-K,https://github.com/Shashwath-K/SkillSphere-Demo,False,0,0,TypeScript,2025-10-27T12:26:10Z,2026-03-29T12:00:00Z,0
1190000001,File_DS,Shashwath-K,https://github.com/Shashwath-K/File_DS,False,0,0,Python,2026-03-30T10:00:00Z,2026-04-03T15:30:00Z,0
1190000002,Dash,Shashwath-K,https://github.com/Shashwath-K/Dash,False,0,0,Python,2026-03-31T10:00:00Z,2026-03-31T11:00:00Z,0
1190000003,Login_analyzer_tracer,Shashwath-K,https://github.com/Shashwath-K/Login_analyzer_tracer,False,0,0,Python,2026-04-01T10:00:00Z,2026-04-04T11:08:00Z,0
1190000004,pramana_dashboard,Shashwath-K,https://github.com/Shashwath-K/pramana_dashboard,False,0,0,Unknown,2026-04-02T10:00:00Z,2026-04-05T10:50:00Z,0
